"response","predictor","estimate","stderr","zvalue","pvalue","alpha","p_adjust_BH","p_adjust_bonf"
"diverse","T3SS",NA,NA,NA,NA,NA,NA,NA
"Host_cotyledon","T3SS",NA,NA,NA,NA,NA,NA,NA
"life_style","T3SS",NA,NA,NA,NA,NA,NA,NA
"T6SS","T3SS",1.72112485104365,0.631882713331833,2.72380429901047,0.00645347341852934,26.4452306277711,0.0774416810223521,0.232325043067056
"T2SS","T3SS",NA,NA,NA,NA,NA,NA,NA
"genome","T3SS",NA,NA,NA,NA,NA,NA,NA
"Seedborne","diverse",-0.667351844052358,0.27250957166895,-2.44891157387701,0.0143288620795044,90.5212632532158,0.0951044230673853,0.51583903486216
"nutritional_mode","diverse",NA,NA,NA,NA,NA,NA,NA
"Insectborne","diverse",0.395008173959032,0.253272552760007,1.55961698042081,0.118850421348893,91.3441399902799,0.285241011237343,1
"T3SS","diverse",-0.0916242690546855,0.15356352743764,-0.596653844721642,0.550738513979512,2.47503467330387,0.600805651614013,1
"Host_cotyledon","diverse",NA,NA,NA,NA,NA,NA,NA
"life_style","diverse",NA,NA,NA,NA,NA,NA,NA
"T6SS","diverse",0.306686676622337,0.209705615966499,1.46246286828737,0.143614412437598,5.13958550319769,0.304124638103149,1
"T2SS","diverse",NA,NA,NA,NA,NA,NA,NA
"genome","diverse",NA,NA,NA,NA,NA,NA,NA
"Seedborne","Host_cotyledon",0.429184248641762,0.283523916618189,1.51374971734652,0.130089330035437,89.2509747857271,0.292700992579732,1
"nutritional_mode","Host_cotyledon",NA,NA,NA,NA,NA,NA,NA
"Insectborne","Host_cotyledon",-0.379347210243567,0.281802427711157,-1.34614599783503,0.178255436775203,90.1567747472609,0.337747143363543,1
"T3SS","Host_cotyledon",-0.154828538047655,0.174111596230741,-0.889248857626167,0.373869350388516,1.59659681365301,0.48885107831004,1
"diverse","Host_cotyledon",NA,NA,NA,NA,NA,NA,NA
"life_style","Host_cotyledon",NA,NA,NA,NA,NA,NA,NA
"T6SS","Host_cotyledon",-0.148799960251918,0.206633119816042,-0.720116699512588,0.471453146393129,6.38751424891432,0.547493976456537,1
"T2SS","Host_cotyledon",NA,NA,NA,NA,NA,NA,NA
"genome","Host_cotyledon",NA,NA,NA,NA,NA,NA,NA
"Seedborne","life_style",0.0771928085323065,0.166078966575709,0.464795814448408,0.642077685429726,91.5176557049397,0.66042276215629,1
"nutritional_mode","life_style",NA,NA,NA,NA,NA,NA,NA
"Insectborne","life_style",0.157458883571014,0.179441222038059,0.877495604313354,0.380217505352253,88.4501395924202,0.48885107831004,1
"T3SS","life_style",0.139066146111268,0.122763398801066,1.13279810977391,0.257299045435061,1.73185707509573,0.402728940680965,1
"diverse","life_style",NA,NA,NA,NA,NA,NA,NA
"Host_cotyledon","life_style",NA,NA,NA,NA,NA,NA,NA
"T6SS","life_style",0.129494189985945,0.125458438448147,1.03216803578714,0.301993406188544,6.7048379467111,0.418144716261061,1
"T2SS","life_style",NA,NA,NA,NA,NA,NA,NA
"genome","life_style",NA,NA,NA,NA,NA,NA,NA
"Seedborne","T6SS",1.88300146635959,0.529606681021364,3.555471510911,0.000377301829180194,89.4458203992116,0.013582865850487,0.013582865850487
"nutritional_mode","T6SS",NA,NA,NA,NA,NA,NA,NA
"Insectborne","T6SS",-0.981400961664653,0.497299653154535,-1.97345997617192,0.0484431802307742,91.3921710394055,0.217994311038484,1
"T3SS","T6SS",0.258836999697636,0.350228498513964,0.739051792746431,0.459875547984097,2.86172626355201,0.547493976456537,1
"diverse","T6SS",NA,NA,NA,NA,NA,NA,NA
"Host_cotyledon","T6SS",NA,NA,NA,NA,NA,NA,NA
"life_style","T6SS",NA,NA,NA,NA,NA,NA,NA
"T2SS","T6SS",NA,NA,NA,NA,NA,NA,NA
"genome","T6SS",NA,NA,NA,NA,NA,NA,NA
"Seedborne","T2SS",0.0155756648741554,0.0096798634123472,1.60907899323123,0.107599069969324,1.67953836351972,0.276683322778262,1
"nutritional_mode","T2SS",NA,NA,NA,NA,NA,NA,NA
"Insectborne","T2SS",-0.00711406803432998,0.00410446907530936,-1.73324927141613,0.0830513729657259,1.67882200116943,0.271804493342376,1
"T3SS","T2SS",-0.00383266628969933,0.0031056632789992,-1.23408945059054,0.217169574110562,1.67878129838551,0.372290698475249,1
"diverse","T2SS",NA,NA,NA,NA,NA,NA,NA
"Host_cotyledon","T2SS",NA,NA,NA,NA,NA,NA,NA
"life_style","T2SS",NA,NA,NA,NA,NA,NA,NA
"T6SS","T2SS",-0.013345631202063,0.0055322476556958,-2.41233437702717,0.0158507371778975,1.6791980775146,0.0951044230673853,0.570626538404312
"genome","T2SS",NA,NA,NA,NA,NA,NA,NA
"Seedborne","genome",4.38360678603518e-08,1.4904407623752e-07,0.294114794542346,0.768670186197159,81.1962874627713,0.768670186197159,1
"nutritional_mode","genome",NA,NA,NA,NA,NA,NA,NA
"Insectborne","genome",-3.70025712884947e-07,2.05157813988927e-07,-1.80361501075907,0.0712916812383052,90.7727161914884,0.256650052457899,1
"T3SS","genome",5.43505022380444e-07,2.22269949091635e-07,2.44524743268994,0.0144752795090574,1.2525136523345,0.0951044230673853,0.521110062326065
"diverse","genome",NA,NA,NA,NA,NA,NA,NA
"Host_cotyledon","genome",NA,NA,NA,NA,NA,NA,NA
"life_style","genome",NA,NA,NA,NA,NA,NA,NA
"T6SS","genome",6.06873778145353e-07,2.87986604527278e-07,2.10729863335664,0.0350917017545393,2.05562043862116,0.180471609023345,1
"T2SS","genome",NA,NA,NA,NA,NA,NA,NA
